case_id,alert_type,failed_login_count,successful_login,new_ip,location_change,login_location,endpoint_anomaly,email_anomaly,cloud_anomaly,previous_incident,evidence_missing,evidence_conflict,risk_score,risk_level,investigation_steps,containment_decision,investigation_status,case_outcome
CASE-0011,Cloud Account Anomaly,1,0,1,0,Hyderabad,0,1,0,0,0,0,25,LOW,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,Normal Investigation,Benign Activity
CASE-0012,Suspicious Login,0,1,1,0,Chennai,0,1,1,0,0,0,45,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Needs Further Investigation
CASE-0013,Cloud Account Anomaly,4,0,0,0,Unknown,1,0,1,1,0,1,30,MEDIUM,Validate Alert → Check Authentication History → Review Endpoint Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,MANUAL REVIEW - Conflicting Evidence,Needs Further Investigation
CASE-0014,Phishing Email,2,1,1,1,Hyderabad,1,0,0,0,0,0,55,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Needs Further Investigation
CASE-0015,Endpoint Malware,1,0,0,0,Hyderabad,0,0,0,0,0,0,0,LOW,Validate Alert → Check Authentication History → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,Normal Investigation,Benign Activity
CASE-0016,Endpoint Malware,3,1,1,0,Chennai,0,1,0,1,1,0,35,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,BLOCKED - Missing Evidence,Needs Further Investigation
CASE-0017,Cloud Account Anomaly,2,1,1,1,Chennai,1,0,0,0,1,1,50,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,BLOCKED - Missing Evidence,Benign Activity
CASE-0018,Endpoint Malware,6,0,0,1,Delhi,0,1,0,1,1,0,45,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,BLOCKED - Missing Evidence,Needs Further Investigation
CASE-0019,Suspicious Login,1,0,0,0,Delhi,0,0,1,1,1,0,10,LOW,Validate Alert → Check Authentication History → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,BLOCKED - Missing Evidence,Benign Activity
CASE-0020,Suspicious Login,1,0,1,0,Bangalore,1,1,1,1,1,1,50,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,BLOCKED - Missing Evidence,Benign Activity
CASE-0021,Endpoint Malware,2,1,0,0,Hyderabad,0,1,0,0,1,1,15,LOW,Validate Alert → Check Authentication History → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,BLOCKED - Missing Evidence,Benign Activity
CASE-0022,Endpoint Malware,2,0,0,0,Bangalore,0,0,0,1,0,1,5,LOW,Validate Alert → Check Authentication History → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,MANUAL REVIEW - Conflicting Evidence,Benign Activity
CASE-0023,Suspicious Login,1,0,1,1,Unknown,1,0,1,0,0,0,55,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Needs Further Investigation
CASE-0024,Phishing Email,3,1,1,0,Bangalore,0,1,0,0,0,1,35,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,MANUAL REVIEW - Conflicting Evidence,Benign Activity
CASE-0025,Phishing Email,4,0,0,1,Unknown,1,0,1,1,0,1,45,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,MANUAL REVIEW - Conflicting Evidence,Benign Activity
CASE-0026,Suspicious Login,1,0,1,0,Bangalore,0,0,1,1,0,1,30,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,MANUAL REVIEW - Conflicting Evidence,Benign Activity
CASE-0027,Phishing Email,3,1,1,0,Unknown,0,1,1,0,0,0,45,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Needs Further Investigation
CASE-0028,Phishing Email,1,0,1,1,Delhi,0,0,0,0,0,0,30,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Needs Further Investigation
CASE-0029,Endpoint Malware,4,0,1,1,Hyderabad,0,1,0,0,0,0,40,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Benign Activity
CASE-0030,Endpoint Malware,4,0,0,0,Unknown,1,0,0,1,1,1,15,LOW,Validate Alert → Check Authentication History → Review Endpoint Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,BLOCKED - Missing Evidence,Benign Activity
CASE-0031,Endpoint Malware,2,1,0,0,Mumbai,1,0,1,0,0,0,35,MEDIUM,Validate Alert → Check Authentication History → Review Endpoint Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Benign Activity
CASE-0032,Endpoint Malware,0,0,0,0,Unknown,1,1,1,0,0,0,35,MEDIUM,Validate Alert → Check Authentication History → Review Endpoint Activity → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Benign Activity
CASE-0033,Phishing Email,0,0,0,1,Unknown,0,1,0,0,1,0,20,LOW,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,BLOCKED - Missing Evidence,Benign Activity
CASE-0034,Phishing Email,2,1,0,1,Mumbai,0,1,0,1,0,1,40,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,MANUAL REVIEW - Conflicting Evidence,Needs Further Investigation
CASE-0035,Cloud Account Anomaly,2,0,1,1,Hyderabad,0,1,1,1,0,0,55,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Benign Activity
CASE-0036,Endpoint Malware,2,0,1,1,Delhi,0,1,1,0,0,0,50,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Needs Further Investigation
CASE-0037,Phishing Email,1,1,1,1,Chennai,0,1,0,0,0,1,50,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,MANUAL REVIEW - Conflicting Evidence,Benign Activity
CASE-0038,Endpoint Malware,5,1,0,0,Chennai,0,0,0,0,1,1,25,LOW,Validate Alert → Check Authentication History → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,BLOCKED - Missing Evidence,Benign Activity
CASE-0039,Cloud Account Anomaly,4,1,0,1,Bangalore,1,1,0,0,0,0,50,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Benign Activity
CASE-0040,Endpoint Malware,0,1,0,0,Hyderabad,0,1,0,1,0,0,25,LOW,Validate Alert → Check Authentication History → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,Normal Investigation,Benign Activity
CASE-0041,Cloud Account Anomaly,1,1,0,1,Mumbai,1,1,0,1,1,1,50,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,BLOCKED - Missing Evidence,Needs Further Investigation
CASE-0042,Cloud Account Anomaly,2,0,1,0,Delhi,1,1,1,0,0,0,50,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Needs Further Investigation
CASE-0043,Endpoint Malware,2,0,0,1,Delhi,1,1,1,1,0,0,55,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Benign Activity
CASE-0044,Suspicious Login,0,1,1,0,Delhi,1,1,1,1,0,0,65,HIGH,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Isolate Endpoint,Normal Investigation,Escalated Incident
CASE-0045,Cloud Account Anomaly,2,0,1,1,Chennai,1,0,1,0,0,0,55,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Needs Further Investigation
CASE-0046,Cloud Account Anomaly,2,0,1,0,Mumbai,0,1,1,1,0,0,40,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Benign Activity
CASE-0047,Cloud Account Anomaly,3,1,1,1,Unknown,0,1,0,0,0,0,50,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Needs Further Investigation
CASE-0048,Suspicious Login,1,0,0,0,Chennai,0,0,0,0,1,1,0,LOW,Validate Alert → Check Authentication History → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,BLOCKED - Missing Evidence,Benign Activity
CASE-0049,Endpoint Malware,0,1,1,1,Mumbai,0,0,0,1,0,1,45,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,MANUAL REVIEW - Conflicting Evidence,Needs Further Investigation
CASE-0050,Cloud Account Anomaly,2,1,0,0,Hyderabad,0,0,1,0,0,0,20,LOW,Validate Alert → Check Authentication History → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,Normal Investigation,Benign Activity
CASE-0051,Cloud Account Anomaly,2,1,0,1,Unknown,0,1,1,0,1,0,40,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,BLOCKED - Missing Evidence,Benign Activity
CASE-0052,Endpoint Malware,1,1,0,1,Delhi,1,1,1,1,0,0,65,HIGH,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Isolate Endpoint,Normal Investigation,Escalated Incident
CASE-0053,Endpoint Malware,3,1,1,1,Mumbai,0,1,1,0,1,0,55,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,BLOCKED - Missing Evidence,Benign Activity
CASE-0054,Phishing Email,2,1,1,0,Bangalore,0,0,0,1,1,1,25,LOW,Validate Alert → Check Authentication History → Investigate IP and Location → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,BLOCKED - Missing Evidence,Benign Activity
CASE-0055,Cloud Account Anomaly,3,1,1,0,Delhi,0,1,0,1,0,0,40,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Benign Activity
CASE-0056,Phishing Email,2,1,1,1,Mumbai,1,1,1,1,0,0,80,HIGH,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate to Senior Analyst,Normal Investigation,Confirmed Incident
CASE-0057,Suspicious Login,0,0,0,0,Mumbai,1,1,1,0,0,0,35,MEDIUM,Validate Alert → Check Authentication History → Review Endpoint Activity → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Needs Further Investigation
CASE-0058,Endpoint Malware,2,1,0,0,Chennai,1,0,0,1,0,1,30,MEDIUM,Validate Alert → Check Authentication History → Review Endpoint Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,MANUAL REVIEW - Conflicting Evidence,Benign Activity
CASE-0059,Suspicious Login,1,1,1,1,Delhi,1,1,0,0,0,0,65,HIGH,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Isolate Endpoint,Normal Investigation,Confirmed Incident
CASE-0060,Cloud Account Anomaly,1,0,0,0,Delhi,0,1,0,0,0,1,10,LOW,Validate Alert → Check Authentication History → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,MANUAL REVIEW - Conflicting Evidence,Benign Activity
CASE-0061,Endpoint Malware,3,1,1,1,Mumbai,1,1,1,0,0,0,75,HIGH,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate to Senior Analyst,Normal Investigation,Confirmed Incident
CASE-0062,Suspicious Login,1,0,0,0,Hyderabad,0,0,0,1,1,1,0,LOW,Validate Alert → Check Authentication History → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,BLOCKED - Missing Evidence,Benign Activity
CASE-0063,Cloud Account Anomaly,4,1,0,0,Delhi,1,1,1,0,0,0,45,MEDIUM,Validate Alert → Check Authentication History → Review Endpoint Activity → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Needs Further Investigation
CASE-0064,Suspicious Login,2,0,0,1,Unknown,0,0,0,0,0,1,15,LOW,Validate Alert → Check Authentication History → Investigate IP and Location → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,MANUAL REVIEW - Conflicting Evidence,Benign Activity
CASE-0065,Phishing Email,0,1,0,1,Delhi,1,1,1,1,1,0,60,HIGH,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate to Senior Analyst,BLOCKED - Missing Evidence,Confirmed Incident
CASE-0066,Phishing Email,4,1,0,0,Hyderabad,0,0,1,0,0,0,20,LOW,Validate Alert → Check Authentication History → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,Normal Investigation,Benign Activity
CASE-0067,Cloud Account Anomaly,5,1,0,1,Bangalore,1,0,1,1,1,0,70,HIGH,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Disable Account,BLOCKED - Missing Evidence,Confirmed Incident
CASE-0068,Phishing Email,2,1,1,1,Delhi,1,0,1,0,0,0,65,HIGH,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Disable Account,Normal Investigation,Confirmed Incident
CASE-0069,Suspicious Login,0,1,1,0,Hyderabad,0,1,1,1,0,0,50,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Benign Activity
CASE-0070,Endpoint Malware,0,1,1,1,Hyderabad,0,0,0,0,0,1,40,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,MANUAL REVIEW - Conflicting Evidence,Needs Further Investigation
CASE-0071,Cloud Account Anomaly,1,0,0,0,Unknown,1,0,0,1,0,1,20,LOW,Validate Alert → Check Authentication History → Review Endpoint Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,MANUAL REVIEW - Conflicting Evidence,Benign Activity
CASE-0072,Phishing Email,1,1,1,1,Chennai,0,1,0,1,0,1,55,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,MANUAL REVIEW - Conflicting Evidence,Needs Further Investigation
CASE-0073,Phishing Email,2,1,1,1,Mumbai,0,1,1,1,0,0,65,HIGH,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate to Senior Analyst,Normal Investigation,Escalated Incident
CASE-0074,Phishing Email,2,1,1,1,Unknown,0,0,1,0,1,0,45,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,BLOCKED - Missing Evidence,Benign Activity
CASE-0075,Cloud Account Anomaly,5,1,1,0,Chennai,1,0,0,1,0,0,65,HIGH,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Collect Evidence → Assess Risk → Determine Containment,Isolate Endpoint,Normal Investigation,Escalated Incident
CASE-0076,Endpoint Malware,1,1,0,0,Mumbai,1,1,1,1,0,0,50,MEDIUM,Validate Alert → Check Authentication History → Review Endpoint Activity → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Benign Activity
CASE-0077,Cloud Account Anomaly,2,0,0,0,Unknown,1,0,0,1,0,1,20,LOW,Validate Alert → Check Authentication History → Review Endpoint Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,MANUAL REVIEW - Conflicting Evidence,Benign Activity
CASE-0078,Suspicious Login,4,1,0,1,Delhi,0,0,1,0,0,0,35,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Benign Activity
CASE-0079,Endpoint Malware,1,0,1,0,Hyderabad,0,0,0,1,0,0,20,LOW,Validate Alert → Check Authentication History → Investigate IP and Location → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,Normal Investigation,Benign Activity
CASE-0080,Endpoint Malware,2,0,1,1,Chennai,1,1,0,1,0,1,60,HIGH,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate to Senior Analyst,MANUAL REVIEW - Conflicting Evidence,Confirmed Incident
CASE-0081,Cloud Account Anomaly,1,1,1,1,Delhi,1,1,1,0,1,0,70,HIGH,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Isolate Endpoint,BLOCKED - Missing Evidence,Confirmed Incident
CASE-0082,Phishing Email,4,1,1,0,Hyderabad,1,1,0,0,1,0,45,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,BLOCKED - Missing Evidence,Needs Further Investigation
CASE-0083,Phishing Email,5,0,0,1,Unknown,0,0,0,1,1,0,35,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,BLOCKED - Missing Evidence,Benign Activity
CASE-0084,Endpoint Malware,2,0,1,1,Bangalore,1,0,0,0,0,1,45,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,MANUAL REVIEW - Conflicting Evidence,Benign Activity
CASE-0085,Phishing Email,1,1,1,1,Hyderabad,0,1,0,0,0,1,50,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,MANUAL REVIEW - Conflicting Evidence,Benign Activity
CASE-0086,Phishing Email,3,0,1,0,Unknown,1,0,1,1,0,1,45,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,MANUAL REVIEW - Conflicting Evidence,Benign Activity
CASE-0087,Phishing Email,2,0,0,1,Mumbai,0,1,0,0,1,1,20,LOW,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,BLOCKED - Missing Evidence,Benign Activity
CASE-0088,Cloud Account Anomaly,5,0,0,0,Delhi,0,1,1,0,0,0,40,MEDIUM,Validate Alert → Check Authentication History → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Needs Further Investigation
CASE-0089,Cloud Account Anomaly,5,1,1,0,Bangalore,1,0,1,1,0,0,75,HIGH,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate to Senior Analyst,Normal Investigation,Escalated Incident
CASE-0090,Cloud Account Anomaly,5,1,0,1,Delhi,0,1,1,0,1,0,60,HIGH,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Isolate Endpoint,BLOCKED - Missing Evidence,Confirmed Incident
CASE-0091,Suspicious Login,1,0,0,0,Bangalore,1,0,0,0,0,1,15,LOW,Validate Alert → Check Authentication History → Review Endpoint Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,MANUAL REVIEW - Conflicting Evidence,Benign Activity
CASE-0092,Endpoint Malware,0,0,1,0,Chennai,0,1,0,0,0,0,25,LOW,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,Normal Investigation,Benign Activity
CASE-0093,Suspicious Login,1,0,0,1,Bangalore,0,1,0,0,0,0,25,LOW,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,Normal Investigation,Benign Activity
CASE-0094,Cloud Account Anomaly,2,0,0,1,Unknown,1,1,0,1,0,1,45,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,MANUAL REVIEW - Conflicting Evidence,Needs Further Investigation
CASE-0095,Phishing Email,1,1,0,0,Chennai,1,1,1,0,1,1,40,MEDIUM,Validate Alert → Check Authentication History → Review Endpoint Activity → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,BLOCKED - Missing Evidence,Benign Activity
CASE-0096,Suspicious Login,0,1,0,0,Chennai,0,1,1,1,0,0,35,MEDIUM,Validate Alert → Check Authentication History → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Benign Activity
CASE-0097,Suspicious Login,2,0,1,1,Mumbai,0,1,1,1,1,0,50,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,BLOCKED - Missing Evidence,Needs Further Investigation
CASE-0098,Cloud Account Anomaly,2,1,1,1,Chennai,0,1,0,0,0,0,50,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Benign Activity
CASE-0099,Phishing Email,1,0,0,1,Mumbai,0,1,1,1,0,0,40,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Benign Activity
CASE-0100,Suspicious Login,0,0,0,1,Delhi,0,0,1,1,0,0,30,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Needs Further Investigation
